id,abstract,headline,lead_paragraph,timestamp
1,retail disasters data theft heartbleed internet threat how companies deal government requests information their cyber security experts lot bobbi rebell,cyber security after snowden,retail disasters data theft heartbleed internet threat how companies deal government requests information their cyber security experts lot bobbi rebell,2023-08-21 12:15:23.000000
2,latest admission security breach neiman along incidents south korea clear evidence businesses need raise bar data bobbi rebell,stepping up cyber security,latest admission security breach neiman along incidents south korea clear evidence businesses need raise bar data bobbi rebell,2023-08-21 12:15:23.000000
3,latest admission security breach neiman along incidents south korea clear evidence businesses need raise bar data bobbi rebell,stepping up cyber security,latest admission security breach neiman along incidents south korea clear evidence businesses need raise bar data bobbi rebell,2023-08-21 12:15:23.000000
4,computer scientist peter neumann talks research create more secure software,peter neumann cyber security,computer scientist peter neumann talks research create more secure software,2023-08-21 12:15:23.000000
5,obama says foreign hacker should able shut down our urges congress pass legislation cyber rough cut reporter,obama calls congress tackle cyber security,obama says foreign hacker should able shut down our urges congress pass legislation cyber rough cut reporter,2023-08-21 12:15:23.000000
6,following text president remarks new white house cybersecurity office released white,remarks,following text president remarks friday new white house cybersecurity released white,2023-08-21 12:15:23.000000
7,china announced delay controversial technology regulations financial sector alongside treasury secretary jack visit meg teckman,china delays cyber security rules banks,china announced delay controversial technology regulations financial sector alongside treasury secretary jack visit meg teckman,2023-08-21 12:15:23.000000
8,president obama outlines new policies white house friday,early,white house turns focus cyberspace president obama announcing new plan protect electronic networks attacks launched both home abroad hold risk any,2023-08-21 12:15:23.000000
9,president obama outlines new policies white house friday,early,white house turns focus cyberspace president obama announcing new plan protect electronic networks attacks launched both home abroad hold risk any,2023-08-21 12:15:23.000000
10,airs concerns over cyber security talks officials host chinese delegates banquet sidelines strategic economic dialogue rough cut reporter,airs concerns over cyber security china meetings,airs concerns over cyber security talks officials host chinese delegates banquet sidelines strategic economic dialogue rough cut reporter,2023-08-21 12:15:23.000000
11,retail disasters data theft heartbleed internet threat how companies deal government requests information their cyber security experts lot bobbi rebell,cyber security after snowden,retail disasters data theft heartbleed internet threat how companies deal government requests information their cyber security experts lot bobbi rebell,2023-08-21 12:15:23.000000
